Tripid,City,Stationid,Truckid,Wastecollected,TruckType,Date
52745,Salvador,81,198,39.69,Scania,2019-06-13
52746,Salvador,82,211,41.21,Volvo,2019-06-13
52747,Salvador,82,213,43.76,Volvo,2019-06-13
52748,Salvador,82,211,42.78,Volvo,2019-06-13
52749,Salvador,82,211,39.52,Volvo,2019-06-13
52750,Salvador,81,191,39.55,Volvo,2019-06-13
52751,Salvador,81,198,37.69,Scania,2019-06-13
52752,Salvador,47,178,41.64,Scania,2019-06-13
52753,Salvador,47,179,32.51,Volvo,2019-06-13
52754,Salvador,81,198,35.37,Scania,2019-06-13
52755,Salvador,82,213,38.63,Volvo,2019-06-13
52756,Salvador,47,170,39.93,Scania,2019-06-13
52757,Salvador,82,211,33.29,Volvo,2019-06-13
52758,Salvador,82,211,41.05,Volvo,2019-06-13
52759,Salvador,48,184,36.79,Scania,2019-06-13
52760,Salvador,81,198,36.28,Scania,2019-06-13
52761,Salvador,47,179,41.24,Volvo,2019-06-13
52762,Salvador,81,194,37.3,Scania,2019-06-13
52763,Salvador,48,189,39.93,Volvo,2019-06-13
52764,Salvador,82,213,31.96,Volvo,2019-06-13
52765,Salvador,81,194,37.16,Scania,2019-06-13
52766,Salvador,48,188,37.21,Scania,2019-06-13
52767,Salvador,48,188,37.46,Scania,2019-06-13
52768,Salvador,48,184,32.78,Scania,2019-06-13
52769,Salvador,82,213,33.88,Volvo,2019-06-13
52770,Salvador,47,179,31.02,Volvo,2019-06-13
52771,Salvador,82,213,40.82,Volvo,2019-06-13
52772,Salvador,81,191,34.52,Volvo,2019-06-13
52773,Salvador,81,198,43.88,Scania,2019-06-13
52774,Salvador,82,213,44.61,Volvo,2019-06-13
52775,Salvador,48,188,44.36,Scania,2019-06-13
52776,Salvador,81,192,44.88,Scania,2019-06-13
52777,Salvador,82,211,41.08,Volvo,2019-06-13
52778,Salvador,48,182,37.2,Scania,2019-06-13
52779,Salvador,81,192,43.31,Scania,2019-06-13
52780,Salvador,48,189,42.23,Volvo,2019-06-13
52781,Salvador,48,184,39.31,Scania,2019-06-13
52782,Salvador,81,198,36,Scania,2019-06-13
52783,Salvador,82,213,30.78,Volvo,2019-06-13
52784,Salvador,81,192,43.13,Scania,2019-06-13
52785,Salvador,47,179,36.75,Volvo,2019-06-13
52786,Salvador,82,211,34.86,Volvo,2019-06-13
52787,Salvador,48,188,44.63,Scania,2019-06-13
52788,Salvador,48,189,37.71,Volvo,2019-06-13
52789,Salvador,82,213,34.51,Volvo,2019-06-13
52790,Salvador,47,178,30.02,Scania,2019-06-13
52791,Salvador,47,170,39.68,Scania,2019-06-13
52792,Salvador,47,178,42.16,Scania,2019-06-13
52793,Salvador,81,198,37.65,Scania,2019-06-13
52794,Salvador,47,170,37.5,Scania,2019-06-13
52795,Salvador,82,211,40.04,Volvo,2019-06-13
52796,Salvador,47,170,31.97,Scania,2019-06-13
52797,Salvador,48,188,32.46,Scania,2019-06-13
52798,Salvador,81,198,38.42,Scania,2019-06-13
52799,Salvador,48,184,44.56,Scania,2019-06-13
52800,Salvador,81,194,36.66,Scania,2019-06-13
52801,Salvador,47,179,31.13,Volvo,2019-06-13
52802,Salvador,48,184,36.89,Scania,2019-06-13
52803,Salvador,47,178,40.71,Scania,2019-06-13
52804,Salvador,81,191,31.1,Volvo,2019-06-13
52805,Salvador,47,178,44.31,Scania,2019-06-13
52806,Salvador,47,179,33.47,Volvo,2019-06-13
52807,Salvador,47,178,32.17,Scania,2019-06-13
52808,Salvador,48,188,37.13,Scania,2019-06-13
52809,Salvador,47,179,31.15,Volvo,2019-06-13
52810,Salvador,81,198,31.89,Scania,2019-06-13
52811,Sao Paulo,19,230,38.19,Scania,2019-06-13
52812,Sao Paulo,83,229,30.92,Volvo,2019-06-13
52813,Sao Paulo,21,246,35.69,Scania,2019-06-13
52814,Sao Paulo,19,238,44.88,Scania,2019-06-13
52815,Sao Paulo,83,217,41.15,Volvo,2019-06-13
52816,Sao Paulo,83,217,33.07,Volvo,2019-06-13
52817,Sao Paulo,19,233,37.77,Volvo,2019-06-13
52818,Sao Paulo,19,233,35.68,Volvo,2019-06-13
52819,Sao Paulo,21,244,41.22,Scania,2019-06-13
52820,Sao Paulo,19,232,43.13,Scania,2019-06-13
52821,Sao Paulo,21,240,44.17,Scania,2019-06-13
52822,Sao Paulo,19,233,41.89,Volvo,2019-06-13
52823,Sao Paulo,83,217,43.13,Volvo,2019-06-13
52824,Sao Paulo,19,230,40.27,Scania,2019-06-13
52825,Sao Paulo,19,230,30.86,Scania,2019-06-13
52826,Sao Paulo,21,245,43.66,Volvo,2019-06-13
52827,Sao Paulo,19,232,38.64,Scania,2019-06-13
52828,Sao Paulo,19,232,38.66,Scania,2019-06-13
52829,Sao Paulo,83,217,35.46,Volvo,2019-06-13
52830,Sao Paulo,83,217,35.1,Volvo,2019-06-13
52831,Sao Paulo,19,232,42.2,Scania,2019-06-13
52832,Sao Paulo,83,217,34.76,Volvo,2019-06-13
52833,Sao Paulo,21,244,34.46,Scania,2019-06-13
52834,Sao Paulo,83,217,36.34,Volvo,2019-06-13
52835,Sao Paulo,83,229,39.69,Volvo,2019-06-13
52836,Sao Paulo,19,232,33.61,Scania,2019-06-13
52837,Sao Paulo,83,217,42.6,Volvo,2019-06-13
52838,Sao Paulo,19,233,40.14,Volvo,2019-06-13
52839,Sao Paulo,21,245,39.91,Volvo,2019-06-13
52840,Sao Paulo,21,246,37.94,Scania,2019-06-13
52841,Sao Paulo,83,217,42.21,Volvo,2019-06-13
52842,Sao Paulo,19,230,38.19,Scania,2019-06-13
52843,Sao Paulo,83,217,33.71,Volvo,2019-06-13
52844,Sao Paulo,19,232,30.43,Scania,2019-06-13
52845,Sao Paulo,21,244,36.07,Scania,2019-06-13
52846,Sao Paulo,19,238,37.91,Scania,2019-06-13
52847,Sao Paulo,21,245,39.67,Volvo,2019-06-13
52848,Sao Paulo,19,238,37.53,Scania,2019-06-13
52849,Sao Paulo,83,217,36.97,Volvo,2019-06-13
52850,Sao Paulo,83,229,34.86,Volvo,2019-06-13
52851,Sao Paulo,21,240,31.34,Scania,2019-06-13
52852,Sao Paulo,21,245,44.92,Volvo,2019-06-13
52853,Sao Paulo,21,240,32.71,Scania,2019-06-13
52854,Sao Paulo,19,232,38.8,Scania,2019-06-13
52855,Sao Paulo,19,233,35.67,Volvo,2019-06-13
52856,Sao Paulo,21,246,31.05,Scania,2019-06-13
52857,Sao Paulo,83,217,41.22,Volvo,2019-06-13
52858,Sao Paulo,21,240,32.67,Scania,2019-06-13
52859,Sao Paulo,19,232,39.36,Scania,2019-06-13
52860,Sao Paulo,21,246,42.98,Scania,2019-06-13
52861,Sao Paulo,83,229,35.94,Volvo,2019-06-13
52862,Sao Paulo,21,244,42.37,Scania,2019-06-13
52863,Sao Paulo,19,238,35.54,Scania,2019-06-13
52864,Sao Paulo,83,229,38.35,Volvo,2019-06-13
52865,Sao Paulo,83,229,42.27,Volvo,2019-06-13
52866,Sao Paulo,19,230,30.93,Scania,2019-06-13
52867,Sao Paulo,21,246,43.72,Scania,2019-06-13
52868,Sao Paulo,83,229,30.52,Volvo,2019-06-13
52869,Sao Paulo,19,232,44.51,Scania,2019-06-13
52870,Sao Paulo,83,229,30.98,Volvo,2019-06-13
52871,Sao Paulo,21,245,40.81,Volvo,2019-06-13
52872,Sao Paulo,19,238,34.85,Scania,2019-06-13
52873,Sao Paulo,83,217,36.27,Volvo,2019-06-13
52874,Sao Paulo,83,229,38.8,Volvo,2019-06-13
52875,Sao Paulo,19,233,41.22,Volvo,2019-06-13
52876,Sao Paulo,21,244,33.12,Scania,2019-06-13
52877,Sao Paulo,19,233,34.74,Volvo,2019-06-13
52878,Sao Paulo,21,246,41.54,Scania,2019-06-13
52879,Sao Paulo,19,238,31.11,Scania,2019-06-13
52880,Sao Paulo,21,246,43.58,Scania,2019-06-13
52881,Sao Paulo,83,217,41.6,Volvo,2019-06-13
52882,Sao Paulo,83,229,33.54,Volvo,2019-06-13
52883,Sao Paulo,83,229,41.14,Volvo,2019-06-13
52884,Sao Paulo,19,232,31.27,Scania,2019-06-13
52885,Sao Paulo,19,230,31.13,Scania,2019-06-13
52886,Sao Paulo,21,240,32.75,Scania,2019-06-13
52887,Rio de Janeiro,84,261,35.66,Volvo,2019-06-13
52888,Rio de Janeiro,86,255,42.8,Volvo,2019-06-13
52889,Rio de Janeiro,31,277,43.36,Volvo,2019-06-13
52890,Rio de Janeiro,32,286,31.87,Scania,2019-06-13
52891,Rio de Janeiro,32,288,39.52,Scania,2019-06-13
52892,Rio de Janeiro,31,280,34.82,Scania,2019-06-13
52893,Rio de Janeiro,86,255,35.12,Volvo,2019-06-13
52894,Rio de Janeiro,31,276,43.44,Scania,2019-06-13
52895,Rio de Janeiro,32,291,36.15,Volvo,2019-06-13
52896,Rio de Janeiro,31,277,30.93,Volvo,2019-06-13
52897,Rio de Janeiro,31,276,40.78,Scania,2019-06-13
52898,Rio de Janeiro,44,301,39.85,Volvo,2019-06-13
52899,Rio de Janeiro,31,276,39.36,Scania,2019-06-13
52900,Rio de Janeiro,31,283,35.37,Volvo,2019-06-13
52901,Rio de Janeiro,31,276,42.51,Scania,2019-06-13
52902,Rio de Janeiro,44,298,42.99,Scania,2019-06-13
52903,Rio de Janeiro,57,274,31.96,Scania,2019-06-13
52904,Rio de Janeiro,84,262,38.11,Scania,2019-06-13
52905,Rio de Janeiro,44,299,41.92,Volvo,2019-06-13
52906,Rio de Janeiro,84,265,44.35,Volvo,2019-06-13
52907,Rio de Janeiro,57,275,33.37,Volvo,2019-06-13
52908,Rio de Janeiro,44,298,40.06,Scania,2019-06-13
52909,Rio de Janeiro,31,283,32,Volvo,2019-06-13
52910,Rio de Janeiro,31,277,38.25,Volvo,2019-06-13
52911,Rio de Janeiro,32,288,35.33,Scania,2019-06-13
52912,Rio de Janeiro,86,257,31.58,Volvo,2019-06-13
52913,Rio de Janeiro,84,265,32.02,Volvo,2019-06-13
52914,Rio de Janeiro,84,266,44.6,Scania,2019-06-13
52915,Rio de Janeiro,84,262,34.89,Scania,2019-06-13
52916,Rio de Janeiro,44,301,41.64,Volvo,2019-06-13
52917,Rio de Janeiro,86,252,39,Scania,2019-06-13
52918,Rio de Janeiro,31,276,38.51,Scania,2019-06-13
52919,Rio de Janeiro,31,277,35.07,Volvo,2019-06-13
52920,Rio de Janeiro,57,274,32.36,Scania,2019-06-13
52921,Rio de Janeiro,84,266,37.81,Scania,2019-06-13
52922,Rio de Janeiro,57,274,33.35,Scania,2019-06-13
52923,Rio de Janeiro,84,266,43.09,Scania,2019-06-13
52924,Rio de Janeiro,84,266,34.39,Scania,2019-06-13
52925,Rio de Janeiro,44,297,32.03,Volvo,2019-06-13
52926,Rio de Janeiro,44,299,36.62,Volvo,2019-06-13
52927,Rio de Janeiro,31,283,33.44,Volvo,2019-06-13
52928,Rio de Janeiro,31,280,37.55,Scania,2019-06-13
52929,Rio de Janeiro,84,266,35.91,Scania,2019-06-13
52930,Rio de Janeiro,57,270,43.72,Scania,2019-06-13
52931,Rio de Janeiro,32,288,43.51,Scania,2019-06-13
52932,Rio de Janeiro,31,280,34.41,Scania,2019-06-13
52933,Rio de Janeiro,57,275,44.17,Volvo,2019-06-13
52934,Rio de Janeiro,84,262,42.41,Scania,2019-06-13
52935,Rio de Janeiro,44,299,37.22,Volvo,2019-06-13
52936,Rio de Janeiro,44,301,30.69,Volvo,2019-06-13
52937,Rio de Janeiro,32,290,44.21,Scania,2019-06-13
52938,Rio de Janeiro,32,291,43.59,Volvo,2019-06-13
52939,Rio de Janeiro,31,276,36.91,Scania,2019-06-13
52940,Rio de Janeiro,86,255,37.64,Volvo,2019-06-13
52941,Rio de Janeiro,86,252,34.64,Scania,2019-06-13
52942,Rio de Janeiro,84,265,33.71,Volvo,2019-06-13
52943,Rio de Janeiro,57,275,32.36,Volvo,2019-06-13
52944,Rio de Janeiro,32,286,43.91,Scania,2019-06-13
52945,Rio de Janeiro,86,251,44.75,Volvo,2019-06-13
52946,Rio de Janeiro,31,283,41.95,Volvo,2019-06-13
52947,Rio de Janeiro,44,299,32.84,Volvo,2019-06-13
52948,Rio de Janeiro,57,270,43.86,Scania,2019-06-13
52949,Rio de Janeiro,32,290,31.42,Scania,2019-06-13
52950,Rio de Janeiro,84,261,38.65,Volvo,2019-06-13
52951,Rio de Janeiro,44,299,33.38,Volvo,2019-06-13
52952,Rio de Janeiro,32,291,43.84,Volvo,2019-06-13
52953,Rio de Janeiro,57,274,39.19,Scania,2019-06-13
52954,Rio de Janeiro,32,290,30.74,Scania,2019-06-13
52955,Rio de Janeiro,84,262,42.08,Scania,2019-06-13
52956,Rio de Janeiro,32,288,30.62,Scania,2019-06-13
52957,Rio de Janeiro,57,275,42.45,Volvo,2019-06-13
52958,Rio de Janeiro,31,276,34.24,Scania,2019-06-13
52959,Rio de Janeiro,44,299,37.3,Volvo,2019-06-13
52960,Rio de Janeiro,32,288,37.17,Scania,2019-06-13
52961,Rio de Janeiro,32,290,31.92,Scania,2019-06-13
52962,Rio de Janeiro,57,270,39.19,Scania,2019-06-13
52963,Brasilia,46,161,32.7,Volvo,2019-06-14
52964,Brasilia,40,135,42.4,Volvo,2019-06-14
52965,Brasilia,43,144,42.58,Scania,2019-06-14
52966,Brasilia,43,143,31.71,Volvo,2019-06-14
52967,Brasilia,46,169,43.51,Volvo,2019-06-14
52968,Brasilia,46,168,41.43,Scania,2019-06-14
52969,Brasilia,77,152,41.93,Scania,2019-06-14
52970,Brasilia,43,144,44.2,Scania,2019-06-14
52971,Brasilia,71,126,44.99,Scania,2019-06-14
52972,Brasilia,71,125,39.08,Volvo,2019-06-14
52973,Brasilia,71,126,33.58,Scania,2019-06-14
52974,Brasilia,77,160,31.51,Scania,2019-06-14
52975,Brasilia,77,152,38.87,Scania,2019-06-14
52976,Brasilia,46,161,39.58,Volvo,2019-06-14
52977,Brasilia,46,169,44.03,Volvo,2019-06-14
52978,Brasilia,77,152,30.82,Scania,2019-06-14
52979,Brasilia,77,160,43.28,Scania,2019-06-14
52980,Brasilia,77,157,40.67,Volvo,2019-06-14
52981,Brasilia,46,162,36.1,Scania,2019-06-14
52982,Brasilia,71,133,39.39,Volvo,2019-06-14
52983,Brasilia,43,143,30.03,Volvo,2019-06-14
52984,Brasilia,46,168,32.08,Scania,2019-06-14
52985,Brasilia,43,144,40.49,Scania,2019-06-14
52986,Brasilia,40,134,40.7,Scania,2019-06-14
52987,Brasilia,97,121,40.13,Volvo,2019-06-14
52988,Brasilia,97,122,37.46,Scania,2019-06-14
52989,Brasilia,71,125,31.31,Volvo,2019-06-14
52990,Brasilia,43,148,43.58,Scania,2019-06-14
52991,Brasilia,71,130,36.06,Scania,2019-06-14
52992,Brasilia,97,120,35.98,Scania,2019-06-14
52993,Brasilia,97,122,30.5,Scania,2019-06-14
52994,Brasilia,40,137,36.72,Volvo,2019-06-14
52995,Brasilia,71,126,44.03,Scania,2019-06-14
52996,Brasilia,43,143,36.65,Volvo,2019-06-14
52997,Brasilia,40,135,40.2,Volvo,2019-06-14
52998,Brasilia,97,120,39.21,Scania,2019-06-14
52999,Brasilia,43,148,36.77,Scania,2019-06-14
53000,Brasilia,77,157,38.69,Volvo,2019-06-14
53001,Brasilia,77,157,39.85,Volvo,2019-06-14
53002,Brasilia,43,148,40.26,Scania,2019-06-14
53003,Brasilia,71,125,38.02,Volvo,2019-06-14
53004,Brasilia,97,120,34.41,Scania,2019-06-14
53005,Brasilia,43,143,30.34,Volvo,2019-06-14
53006,Brasilia,46,162,34.66,Scania,2019-06-14
53007,Brasilia,46,168,34.17,Scania,2019-06-14
53008,Brasilia,40,136,40.57,Scania,2019-06-14
53009,Brasilia,77,152,37.48,Scania,2019-06-14
53010,Brasilia,46,169,44.65,Volvo,2019-06-14
53011,Brasilia,97,122,44.41,Scania,2019-06-14
53012,Brasilia,97,120,43.61,Scania,2019-06-14
53013,Brasilia,97,121,32.83,Volvo,2019-06-14
53014,Brasilia,77,150,40.13,Scania,2019-06-14
53015,Brasilia,77,150,30.85,Scania,2019-06-14
53016,Brasilia,97,120,37.17,Scania,2019-06-14
53017,Brasilia,97,120,42.52,Scania,2019-06-14
53018,Brasilia,40,137,32.13,Volvo,2019-06-14
53019,Brasilia,97,120,41.84,Scania,2019-06-14
53020,Brasilia,46,162,38.44,Scania,2019-06-14
53021,Brasilia,43,143,40.07,Volvo,2019-06-14
53022,Brasilia,46,162,38.62,Scania,2019-06-14
53023,Brasilia,43,145,32.22,Volvo,2019-06-14
53024,Brasilia,46,168,43.9,Scania,2019-06-14
53025,Brasilia,46,161,34.2,Volvo,2019-06-14
53026,Brasilia,97,120,31.72,Scania,2019-06-14
53027,Brasilia,77,160,35.03,Scania,2019-06-14
53028,Brasilia,43,143,42.91,Volvo,2019-06-14
53029,Brasilia,71,133,41.83,Volvo,2019-06-14
53030,Brasilia,97,121,40.75,Volvo,2019-06-14
53031,Brasilia,71,133,35.84,Volvo,2019-06-14
53032,Brasilia,43,144,30.54,Scania,2019-06-14
53033,Brasilia,77,157,41.38,Volvo,2019-06-14
53034,Brasilia,97,115,30.12,Volvo,2019-06-14
53035,Brasilia,71,126,40.7,Scania,2019-06-14
53036,Brasilia,40,135,36.78,Volvo,2019-06-14
53037,Brasilia,43,143,32.13,Volvo,2019-06-14
53038,Brasilia,71,126,40.31,Scania,2019-06-14
53039,Salvador,48,182,33.39,Scania,2019-06-14
53040,Salvador,82,213,30.53,Volvo,2019-06-14
53041,Salvador,81,194,35.66,Scania,2019-06-14
53042,Salvador,81,198,37.99,Scania,2019-06-14
53043,Salvador,82,211,33.48,Volvo,2019-06-14
53044,Salvador,48,182,31.88,Scania,2019-06-14
53045,Salvador,81,192,38.35,Scania,2019-06-14
53046,Salvador,47,179,43.79,Volvo,2019-06-14
53047,Salvador,82,213,30.93,Volvo,2019-06-14
53048,Salvador,82,213,35.88,Volvo,2019-06-14
53049,Salvador,48,188,38.78,Scania,2019-06-14
53050,Salvador,81,198,42.76,Scania,2019-06-14
53051,Salvador,81,198,38.43,Scania,2019-06-14
53052,Salvador,81,194,43.53,Scania,2019-06-14
53053,Salvador,82,213,39.3,Volvo,2019-06-14
53054,Salvador,48,182,37.31,Scania,2019-06-14
53055,Salvador,47,170,38.43,Scania,2019-06-14
53056,Salvador,47,179,42.07,Volvo,2019-06-14
53057,Salvador,47,179,37.42,Volvo,2019-06-14
53058,Salvador,48,184,33.52,Scania,2019-06-14
53059,Salvador,81,191,40.32,Volvo,2019-06-14
53060,Salvador,48,189,39.24,Volvo,2019-06-14
53061,Salvador,48,184,38,Scania,2019-06-14
53062,Salvador,81,194,43.2,Scania,2019-06-14
53063,Salvador,81,194,44.09,Scania,2019-06-14
53064,Salvador,82,211,37.66,Volvo,2019-06-14
53065,Salvador,82,211,34.3,Volvo,2019-06-14
53066,Salvador,82,211,34.27,Volvo,2019-06-14
53067,Salvador,48,184,34.63,Scania,2019-06-14
53068,Salvador,47,170,37.06,Scania,2019-06-14
53069,Salvador,48,188,43.37,Scania,2019-06-14
53070,Salvador,48,189,43.3,Volvo,2019-06-14
53071,Salvador,82,211,33.03,Volvo,2019-06-14
53072,Salvador,47,178,40.49,Scania,2019-06-14
53073,Salvador,48,189,33.15,Volvo,2019-06-14
53074,Salvador,48,184,33.03,Scania,2019-06-14
53075,Salvador,82,213,33.54,Volvo,2019-06-14
53076,Salvador,81,191,34.25,Volvo,2019-06-14
53077,Salvador,81,192,41.01,Scania,2019-06-14
53078,Salvador,81,198,42.73,Scania,2019-06-14
53079,Salvador,82,211,41.27,Volvo,2019-06-14
53080,Salvador,82,213,38.09,Volvo,2019-06-14
53081,Salvador,47,179,41.11,Volvo,2019-06-14
53082,Salvador,81,192,34.93,Scania,2019-06-14
53083,Salvador,81,191,30.85,Volvo,2019-06-14
53084,Salvador,47,170,32.38,Scania,2019-06-14
53085,Salvador,81,192,40.44,Scania,2019-06-14
53086,Salvador,82,213,39,Volvo,2019-06-14
53087,Salvador,47,178,37.81,Scania,2019-06-14
53088,Salvador,82,211,44.81,Volvo,2019-06-14
53089,Salvador,47,170,31.1,Scania,2019-06-14
53090,Salvador,48,189,41.89,Volvo,2019-06-14
53091,Salvador,82,213,34.82,Volvo,2019-06-14
53092,Salvador,48,184,41.79,Scania,2019-06-14
53093,Salvador,81,194,43.96,Scania,2019-06-14
53094,Salvador,48,182,32.43,Scania,2019-06-14
53095,Salvador,48,182,35.24,Scania,2019-06-14
53096,Salvador,81,194,30.02,Scania,2019-06-14
53097,Salvador,82,211,30.91,Volvo,2019-06-14
53098,Salvador,81,191,30.09,Volvo,2019-06-14
53099,Salvador,81,194,44.09,Scania,2019-06-14
53100,Salvador,82,211,42.78,Volvo,2019-06-14
53101,Salvador,48,189,34.48,Volvo,2019-06-14
53102,Salvador,47,179,34.58,Volvo,2019-06-14
53103,Salvador,47,170,31.18,Scania,2019-06-14
53104,Salvador,47,170,36.15,Scania,2019-06-14
53105,Salvador,48,182,41.02,Scania,2019-06-14
53106,Salvador,48,188,38.29,Scania,2019-06-14
53107,Salvador,81,192,34.18,Scania,2019-06-14
53108,Salvador,82,211,36.21,Volvo,2019-06-14
53109,Salvador,47,170,30.11,Scania,2019-06-14
53110,Salvador,82,211,41.46,Volvo,2019-06-14
53111,Salvador,48,182,38.79,Scania,2019-06-14
53112,Salvador,82,213,39.24,Volvo,2019-06-14
53113,Salvador,81,192,44.16,Scania,2019-06-14
53114,Salvador,82,211,43,Volvo,2019-06-14
53115,Sao Paulo,83,229,32.58,Volvo,2019-06-14
53116,Sao Paulo,83,229,40.84,Volvo,2019-06-14
53117,Sao Paulo,19,230,36.8,Scania,2019-06-14
53118,Sao Paulo,19,233,42.06,Volvo,2019-06-14
53119,Sao Paulo,21,246,43.96,Scania,2019-06-14
53120,Sao Paulo,19,230,44.87,Scania,2019-06-14
53121,Sao Paulo,83,217,44.9,Volvo,2019-06-14
53122,Sao Paulo,21,246,36.13,Scania,2019-06-14
53123,Sao Paulo,19,232,35.46,Scania,2019-06-14
53124,Sao Paulo,19,232,33.6,Scania,2019-06-14
53125,Sao Paulo,21,246,36.5,Scania,2019-06-14
53126,Sao Paulo,21,244,37.27,Scania,2019-06-14
53127,Sao Paulo,19,232,39.58,Scania,2019-06-14
53128,Sao Paulo,19,232,31.18,Scania,2019-06-14
53129,Sao Paulo,83,229,43.83,Volvo,2019-06-14
53130,Sao Paulo,21,240,38.44,Scania,2019-06-14
53131,Sao Paulo,83,217,33.25,Volvo,2019-06-14
53132,Sao Paulo,21,245,42.97,Volvo,2019-06-14
53133,Sao Paulo,21,245,36.45,Volvo,2019-06-14
53134,Sao Paulo,19,230,41.14,Scania,2019-06-14
53135,Sao Paulo,21,240,44.89,Scania,2019-06-14
53136,Sao Paulo,83,217,43.19,Volvo,2019-06-14
53137,Sao Paulo,83,217,30.08,Volvo,2019-06-14
53138,Sao Paulo,19,230,41.24,Scania,2019-06-14
53139,Sao Paulo,21,246,31.12,Scania,2019-06-14
53140,Sao Paulo,19,233,40.63,Volvo,2019-06-14
53141,Sao Paulo,83,229,35.59,Volvo,2019-06-14
53142,Sao Paulo,19,232,41.24,Scania,2019-06-14
53143,Sao Paulo,19,238,41.05,Scania,2019-06-14
53144,Sao Paulo,19,230,37.61,Scania,2019-06-14
53145,Sao Paulo,83,229,33.58,Volvo,2019-06-14
53146,Sao Paulo,19,232,41.52,Scania,2019-06-14
53147,Sao Paulo,21,244,43.91,Scania,2019-06-14
53148,Sao Paulo,83,229,40.98,Volvo,2019-06-14
53149,Sao Paulo,21,244,36.83,Scania,2019-06-14
53150,Sao Paulo,83,217,36.67,Volvo,2019-06-14
53151,Sao Paulo,21,245,40.67,Volvo,2019-06-14
53152,Sao Paulo,83,229,42.65,Volvo,2019-06-14
53153,Sao Paulo,21,245,38.75,Volvo,2019-06-14
53154,Sao Paulo,21,246,42.23,Scania,2019-06-14
53155,Sao Paulo,19,233,37.06,Volvo,2019-06-14
53156,Sao Paulo,83,229,31.68,Volvo,2019-06-14
53157,Sao Paulo,83,217,32.76,Volvo,2019-06-14
53158,Sao Paulo,21,245,33.37,Volvo,2019-06-14
53159,Sao Paulo,19,233,39.65,Volvo,2019-06-14
53160,Sao Paulo,83,217,35.4,Volvo,2019-06-14
53161,Sao Paulo,19,233,38.05,Volvo,2019-06-14
53162,Sao Paulo,21,246,42.36,Scania,2019-06-14
53163,Sao Paulo,19,233,44.29,Volvo,2019-06-14
53164,Sao Paulo,83,229,35.05,Volvo,2019-06-14
53165,Sao Paulo,21,244,41.67,Scania,2019-06-14
53166,Sao Paulo,83,229,33.06,Volvo,2019-06-14
53167,Sao Paulo,19,232,37.62,Scania,2019-06-14
53168,Sao Paulo,21,245,32.16,Volvo,2019-06-14
53169,Sao Paulo,83,229,34.22,Volvo,2019-06-14
53170,Sao Paulo,83,217,40.08,Volvo,2019-06-14
53171,Sao Paulo,19,233,35.67,Volvo,2019-06-14
53172,Sao Paulo,19,238,37.01,Scania,2019-06-14
53173,Sao Paulo,83,217,34.57,Volvo,2019-06-14
53174,Sao Paulo,83,217,33.62,Volvo,2019-06-14
53175,Sao Paulo,19,230,34.22,Scania,2019-06-14
53176,Sao Paulo,83,217,40.78,Volvo,2019-06-14
53177,Sao Paulo,83,229,43.76,Volvo,2019-06-14
53178,Sao Paulo,83,229,41.96,Volvo,2019-06-14
53179,Sao Paulo,83,217,36.96,Volvo,2019-06-14
53180,Sao Paulo,19,230,33.57,Scania,2019-06-14
53181,Sao Paulo,19,232,31.19,Scania,2019-06-14
53182,Sao Paulo,19,230,36.25,Scania,2019-06-14
53183,Sao Paulo,21,245,34.85,Volvo,2019-06-14
53184,Sao Paulo,83,217,42.57,Volvo,2019-06-14
53185,Sao Paulo,83,217,33.61,Volvo,2019-06-14
53186,Sao Paulo,21,246,38.65,Scania,2019-06-14
53187,Sao Paulo,83,229,39.74,Volvo,2019-06-14
53188,Sao Paulo,19,232,43.86,Scania,2019-06-14
53189,Sao Paulo,83,217,41.14,Volvo,2019-06-14
53190,Sao Paulo,83,229,35.93,Volvo,2019-06-14
53191,Rio de Janeiro,57,274,38.42,Scania,2019-06-14
53192,Rio de Janeiro,31,276,31.03,Scania,2019-06-14
53193,Rio de Janeiro,44,297,36.97,Volvo,2019-06-14
53194,Rio de Janeiro,86,251,40.93,Volvo,2019-06-14
53195,Rio de Janeiro,86,257,39.95,Volvo,2019-06-14
53196,Rio de Janeiro,31,280,42.63,Scania,2019-06-14
53197,Rio de Janeiro,32,290,40.42,Scania,2019-06-14
53198,Rio de Janeiro,84,261,38.79,Volvo,2019-06-14
53199,Rio de Janeiro,44,297,42.4,Volvo,2019-06-14
53200,Rio de Janeiro,84,261,35.33,Volvo,2019-06-14
53201,Rio de Janeiro,84,261,40.21,Volvo,2019-06-14
53202,Rio de Janeiro,84,262,40.96,Scania,2019-06-14
53203,Rio de Janeiro,32,291,36.3,Volvo,2019-06-14
53204,Rio de Janeiro,84,265,31.89,Volvo,2019-06-14
53205,Rio de Janeiro,57,275,34.05,Volvo,2019-06-14
53206,Rio de Janeiro,84,265,35.73,Volvo,2019-06-14
53207,Rio de Janeiro,86,252,30.21,Scania,2019-06-14
53208,Rio de Janeiro,44,298,33.17,Scania,2019-06-14
53209,Rio de Janeiro,31,280,39.57,Scania,2019-06-14
53210,Rio de Janeiro,44,299,33.65,Volvo,2019-06-14
53211,Rio de Janeiro,57,275,34,Volvo,2019-06-14
53212,Rio de Janeiro,31,280,32.65,Scania,2019-06-14
53213,Rio de Janeiro,57,270,41.01,Scania,2019-06-14
53214,Rio de Janeiro,86,252,36.98,Scania,2019-06-14
53215,Rio de Janeiro,32,291,43.51,Volvo,2019-06-14
